iter	Passed	Remaining
239	524	1661
240	526	1657
241	528	1654
242	530	1651
243	532	1648
244	533	1645
245	535	1641
246	537	1640
247	540	1637
248	541	1634
249	543	1631
250	545	1627
251	547	1624
252	549	1623
253	551	1619
254	552	1615
255	554	1611
256	556	1607
257	557	1603
258	559	1600
259	561	1598
260	563	1595
261	565	1591
262	566	1587
263	568	1584
264	570	1582
265	572	1580
266	574	1578
267	576	1575
268	578	1571
269	579	1567
270	581	1564
271	583	1560
272	585	1558
273	586	1555
274	588	1551
275	589	1546
276	591	1542
277	592	1539
278	594	1536
279	596	1533
280	598	1530
281	599	1526
282	601	1523
283	602	1519
284	604	1516
285	605	1512
286	607	1508
287	609	1506
288	611	1503
289	612	1499
290	614	1496
291	615	1493
292	617	1489
293	618	1485
294	619	1481
295	621	1478
296	623	1476
297	625	1473
298	627	1470
299	629	1467
300	630	1464
301	632	1462
302	635	1461
303	637	1460
304	639	1457
305	641	1454
306	642	1450
307	644	1447
308	646	1444
309	647	1442
310	649	1439
311	651	1435
312	652	1432
313	654	1429
314	655	1425
315	657	1422
316	659	1420
317	660	1417
318	662	1414
319	663	1410
320	665	1406
321	666	1403
322	667	1400
323	669	1396
324	670	1393
325	672	1390
326	674	1387
327	675	1384
328	677	1381
329	678	1377
330	680	1374
331	681	1371
332	683	1368
333	684	1365
334	686	1361
335	687	1358
336	688	1354
337	689	1350
338	690	1347
339	692	1343
340	693	1340
341	695	1338
342	697	1335
343	698	1332
344	700	1330
345	702	1327
346	703	1323
347	705	1320
348	706	1317
349	707	1314
350	709	1311
351	711	1309
352	713	1306
353	714	1303
354	715	1300
355	717	1297
356	718	1294
357	720	1291
358	721	1288
359	723	1286
360	725	1283
361	726	1280
362	728	1278
363	729	1275
364	731	1272
365	733	1270
366	734	1267
367	735	1263
368	737	1260
369	738	1257
370	739	1254
371	741	1251
372	742	1247
373	744	1246
374	746	1243
375	747	1241
376	749	1238
377	750	1235
378	752	1232
379	753	1229
380	755	1227
381	756	1224
382	758	1221
383	760	1219
384	761	1216
385	763	1213
386	764	1211
387	766	1208
388	767	1205
389	769	1203
390	771	1200
391	772	1197
392	773	1195
393	775	1193
394	777	1190
395	778	1187
396	780	1185
397	781	1182
398	783	1180
399	785	1177
400	786	1175
401	788	1172
402	790	1170
403	791	1167
404	793	1165
405	794	1162
406	795	1159
407	796	1156
408	798	1153
409	799	1150
410	800	1147
411	802	1144
412	803	1142
413	805	1140
414	807	1137
415	808	1134
416	809	1132
417	811	1129
418	812	1126
419	813	1123
420	814	1120
421	816	1117
422	817	1115
423	819	1113
424	821	1111
425	822	1108
426	824	1106
427	825	1103
428	827	1101
429	829	1099
430	830	1096
431	832	1094
432	833	1092
433	835	1089
434	836	1087
435	838	1084
436	840	1082
437	841	1080
438	843	1077
439	844	1075
440	846	1072
441	847	1069
442	848	1066
443	849	1064
444	851	1061
445	852	1058
446	854	1057
447	856	1054
448	857	1052
449	858	1049
450	860	1047
451	861	1044
452	863	1042
453	864	1040
454	870	1042
